  n    HST     RA(J2000)  Dec(J2000)   J     +/-     H     +/-     K     +/-     Ks    +/-
9147  S064-F  12:03:30.2  -69:04:56  12.111 0.007  11.803 0.007  11.722 0.013  11.724 0.007
9148  P266-C  12:14:25.4   35:35:55  11.642 0.009  11.378 0.008  11.324 0.011  11.343 0.008
9149  S860-D  12:21:39.3  -00:07:13  12.213 0.007  11.917 0.006  11.861 0.005  11.865 0.005
9150  S791-C  13:17:29.6  -05:32:37  11.661 0.008  11.310 0.007  11.250 0.014  11.267 0.008
9152  P133-C  13:58:40.2   52:06:24  11.149 0.009  10.878 0.007  10.831 0.011  10.839 0.010
9153  P499-E  14:07:33.9   12:23:51  11.947 0.008  11.605 0.008  11.560 0.013  11.540 0.008
9154  S008-D  14:23:45.5  -84:09:58  11.232 0.007  10.990 0.007  10.904 0.009  10.915 0.008
9155  S867-V  14:40:58.0  -00:27:47  12.045 0.008  11.701 0.005  11.622 0.005  11.633 0.005
9156  P041-C  14:51:57.9   71:43:13  10.873 0.008  10.588 0.006  10.523 0.009  10.530 0.007
9157  S273-E  14:56:51.9  -44:49:14  11.341 0.007  10.924 0.005  10.851 0.004  10.849 0.004
9158  P272-D  14:58:33.1   37:08:33  11.640 0.008  11.277 0.006  11.210 0.008  11.223 0.007
9160  S870-T  15:39:03.5   00:14:54  10.914 0.008  10.701 0.008  10.649 0.010  10.659 0.009
9162  P177-D  15:59:13.6   47:36:40  12.258 0.012  11.924 0.008  11.857 0.013  11.868 0.012
9164  P565-C  16:26:42.7   05:52:20  12.180 0.007  11.895 0.006  11.842 0.007  11.844 0.006
9166  P330-E  16:31:33.6   30:08:48  11.816 0.007  11.479 0.005  11.419 0.007  11.429 0.006
9169  P138-C  17:13:44.5   54:33:21  11.355 0.007  11.118 0.005  11.075 0.008  11.080 0.007
9170  S875-C  17:27:22.2  -00:19:25  11.132 0.005  10.835 0.005  10.739 0.006  10.744 0.005
9172  S279-F  17:48:22.6  -45:25:45  12.477 0.009  12.118 0.006  12.026 0.006  12.031 0.006
9173  S024-D  18:18:46.2  -80:06:58  11.039 0.007  10.778 0.007  10.693 0.009  10.711 0.008
9175  S071-D  18:28:08.9  -69:26:03  12.252 0.006  11.916 0.007  11.834 0.011  11.839 0.007
9177  P182-E  18:39:33.7   49:05:38  12.104 0.005  11.764 0.004  11.688 0.006  11.696 0.005
9178  S808-C  19:01:55.4  -04:29:12  10.966 0.007  10.658 0.008  10.566 0.014  10.575 0.008
9181  S234-E  20:31:20.4  -49:38:58  12.464 0.011  12.127 0.008  12.095 0.007  12.070 0.007
9182  S813-D  20:41:05.1  -05:03:43  11.479 0.005  11.142 0.005  11.082 0.010  11.085 0.005
9183  P576-F  20:52:47.3   06:40:05  12.247 0.004  11.940 0.004  11.873 0.007  11.880 0.005
9185  S889-E  22:02:05.7  -01:06:02  12.021 0.005  11.662 0.004  11.586 0.012  11.585 0.005
9186  S893-D  23:18:10.0   00:32:56  11.403 0.009  11.120 0.006  11.045 0.006  11.055 0.006
9187  S677-D  23:23:34.4  -15:21:07  11.857 0.003  11.596 0.003  11.538 0.009  11.542 0.003
9188  P290-D  23:30:33.4   38:18:57  11.634 0.005  11.337 0.004  11.257 0.008  11.262 0.006
